#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Nov 30 22:22:46 EST 2021,4,4,A6RequiredClassesSuite,ClassRegistryProvided+ MainClassProvided+ , , ,A6ExtraCondChecker BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EvalChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadLispChecker LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker PlusGeneratorChecker QuoteChecker TestLispFileProvided TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,
1,Tue Nov 30 22:22:47 EST 2021,4,0,A6RequiredClassesSuite,ClassRegistryProvided MainClassProvided , , ,A6ExtraCondChecker BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EvalChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadLispChecker LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker PlusGeneratorChecker QuoteChecker TestLispFileProvided TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,
2,Tue Nov 30 22:22:48 EST 2021,21,17,A6BasicOperationSuite,ClassRegistryProvided CombinationChecker+ CondChecker+ EvalChecker+ ListChecker+ ListChecker2+ LoadLispChecker+ MainClassProvided QuoteChecker+ TestLispFileProvided+ , ,A6ExtraCondChecker+ ,BasicAndChecker BasicLetTest BasicOrChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,
3,Tue Nov 30 22:22:51 EST 2021,21,0,A6BasicOperationSuite,ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker ,BasicAndChecker BasicLetTest BasicOrChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,
4,Tue Nov 30 22:22:51 EST 2021,31,10,LogicalSuite,BasicAndChecker+ BasicOrChecker+ ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker+ QuoteChecker TestLispFileProvided VariableArgumentAndChecker+ VariableArgumentOrChecker+ , ,A6ExtraCondChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker ,
5,Tue Nov 30 22:22:53 EST 2021,31,0,BasicFunctionExpressionSuite,BasicAndChecker BasicOrChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided VariableArgumentAndChecker VariableArgumentOrChecker , ,A6ExtraCondChecker PlusGeneratorChecker+ TimesGeneratorChecker+ ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 ,
6,Tue Nov 30 22:22:54 EST 2021,31,0,BasicFunctionExpressionSuite,BasicAndChecker BasicOrChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided VariableArgumentAndChecker VariableArgumentOrChecker , ,A6ExtraCondChecker PlusGeneratorChecker TimesGeneratorChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 ,
7,Tue Nov 30 22:22:55 EST 2021,31,0,LispSetqSuite,BasicAndChecker BasicOrChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided VariableArgumentAndChecker VariableArgumentOrChecker , ,A6ExtraCondChecker LispSetqChecker+ LispSetqChecker2+ LoadSetqChecker+ LoadSetqChecker2+ LoadSetqChecker3+ PlusGeneratorChecker TimesGeneratorChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 ,
8,Tue Nov 30 22:22:56 EST 2021,31,0,FuncallSocialDistanceSuite,BasicAndChecker BasicOrChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided VariableArgumentAndChecker VariableArgumentOrChecker , ,A6ExtraCondChecker DerivedSafeChecker+ LispSetqChecker LispSetqChecker2 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 ,
9,Tue Nov 30 22:22:57 EST 2021,31,0,LispLambdaSuite,BasicAndChecker BasicOrChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided VariableArgumentAndChecker VariableArgumentOrChecker , ,A6ExtraCondChecker DerivedSafeChecker LispLambdaChecker+ LispLambdaChecker2+ LispLambdaChecker3+ LispSetqChecker LispSetqChecker2 LoadLambdaChecker+ LoadLambdaChecker2+ LoadLambdaChecker3+ LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,
