Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Tue Nov 30 22:13:50 EST 2021,RunF21A5Tests.java,1638328430104,34025,0,(I)1(F)2(I)2(F)6(I)1,0.3333333333333333,0.0,0.0,66.66666666666666,0.0,0.0,0.35294117647058826,0.0,0.0,0.23529411764705882,0.0,0.0,0.11764705882352941,0.0,[]
,/modelData/A0UserStudy2010.arff,Tue Nov 30 22:13:50 EST 2021,RunF21A5Tests.java, 1638328430104
2,,Tue Nov 30 22:14:29 EST 2021,TestClassRegistry.java,1638328469532,27736,0,(I)1(F)2(I)1(F)2(I)1(F)4(I)5,0.5,0.0,0.0,50.0,0.0,0.0,0.5925925925925926,0.0,0.0,0.2962962962962963,0.0,0.0,0.2962962962962963,0.0,[]
3,,Tue Nov 30 22:14:57 EST 2021,TestClassRegistry.java,1638328497336,6183,6183,(I)4(F)2(I)13(F)2,0.8095238095238095,0.0,0.0,19.047619047619047,0.0,0.0,3.5,0.0,0.0,0.6666666666666666,0.0,0.0,2.8333333333333335,0.0,[]
4,,Tue Nov 30 22:15:03 EST 2021,TestClassRegistry.java,1638328503865,16308,0,(I)6(F)2(I)1(R)1(I)2(F)2(R)2(I)2,0.6111111111111112,0.0,0.0,22.22222222222222,0.0,0.0,1.125,0.0,0.0,0.25,0.0,0.1875,0.6875,0.0,[]
5,,Tue Nov 30 22:15:20 EST 2021,TestClassRegistry.java,1638328520380,16951,0,(F)2(I)1(F)2(I)6(F)2(I)2,0.6,0.0,0.0,40.0,0.0,0.0,0.9375,0.0,0.0,0.375,0.0,0.0,0.5625,0.0,[]
6,,Tue Nov 30 22:15:37 EST 2021,RunF21A5Tests.java,1638328537360,40410,0,(F)6(I)1(F)2(I)1(F)2(I)1,0.23076923076923078,0.0,0.0,76.92307692307693,0.0,0.0,0.325,0.0,0.0,0.25,0.0,0.0,0.075,0.0,[]
7,,Tue Nov 30 22:16:20 EST 2021,RunF21A5Tests.java,1638328580048,29361,0,(F)10(R)1(I)2(R)1,0.14285714285714285,0.0,0.0,71.42857142857143,0.0,0.0,0.4827586206896552,0.0,0.0,0.3448275862068966,0.0,0.06896551724137931,0.06896551724137931,2.0,[1638328598128 2 Assignment-6.docx - Google Docs https://docs.google.com/document/d/1vDGOP1LhUlGlwbPQf52p_k0IgNqn9Ibq/edit#, 1638328600132 2 Assignment-6.docx - Google Docs https://docs.google.com/document/d/1vDGOP1LhUlGlwbPQf52p_k0IgNqn9Ibq/edit#heading=h.gjdgxs]
8,,Tue Nov 30 22:16:49 EST 2021,RunF21A5Tests.java,1638328609573,338672,0,(I)2(F)4(I)2(R)1(I)2(F)2(I)1,0.5,0.0,0.0,42.857142857142854,0.0,0.0,0.04142011834319527,0.0,0.0,0.01775147928994083,0.0,0.0029585798816568047,0.020710059171597635,2.0,[]
9,,Tue Nov 30 22:22:28 EST 2021,RunF21A5Tests.java,1638328948973,27526,0,(I)2(D)2(F)1(D)7,0.16666666666666666,75.0,0.0,8.333333333333332,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.037037037037037035,0.0,0.0,0.07407407407407407,0.0,[]
10,,Tue Nov 30 22:22:56 EST 2021,RunF21A5Tests.java,1638328976519,19117,0,(D)9(F)4(D)1,0.0,71.42857142857143,0.0,28.57142857142857,0.0,0.0,0.7368421052631579,0.0,0.5263157894736842,0.21052631578947367,0.0,0.0,0.0,0.0,[]
11,,Tue Nov 30 22:24:12 EST 2021,EnvironmentOverride.java,1638329052685,-574915,-574915,(F)3(I)11,0.7857142857142857,0.0,0.0,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
12,,Tue Nov 30 22:14:56 EST 2021,EnvironmentOverride.java,1638328496792,587565,0,(I)3(R)1(I)2(R)1(I)5(R)1(I)1(R)1(I)1(R)1(I)2(F)1,0.7,0.0,0.0,5.0,0.0,0.0,0.034071550255536626,0.0,0.0,0.0017035775127768314,0.0,0.008517887563884156,0.02385008517887564,6.0,[1638329040368 3 Assignment-6.docx - Google Docs https://docs.google.com/document/d/1vDGOP1LhUlGlwbPQf52p_k0IgNqn9Ibq/edit#, 1638328600132 2 Assignment-6.docx - Google Docs https://docs.google.com/document/d/1vDGOP1LhUlGlwbPQf52p_k0IgNqn9Ibq/edit#heading=h.gjdgxs, 1638329043301 1 Java-lisp-interpreter/AbstractEnvironment.java at master � avitkus/Java-lisp-interpreter https://www.google.com/url?q=https://github.com/avitkus/Java-lisp-interpreter/blob/master/src/main/lisp/evaluator/environment/AbstractEnvironment.java&sa=D&source=docs&ust=1638332636541000&usg=AOvVaw26u1IBrre_3wt92f0PsIEe, 1638329044436 1 Java-lisp-interpreter/AbstractEnvironment.java at master � avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/blob/master/src/main/lisp/evaluator/environment/AbstractEnvironment.java]
13,,Tue Nov 30 22:24:44 EST 2021,EnvironmentOverride.java,1638329084357,9325,9325,(F)1(I)2(R)1(I)2(F)4(I)11,0.7142857142857143,0.0,0.0,23.809523809523807,0.0,0.0,2.3333333333333335,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111,1.6666666666666667,0.0,[]
14,,Tue Nov 30 22:24:53 EST 2021,EnvironmentOverride.java,1638329093762,19275,0,(I)18(F)3,0.8571428571428571,0.0,0.0,14.285714285714285,0.0,0.0,1.105263157894737,0.0,0.0,0.15789473684210525,0.0,0.0,0.9473684210526315,0.0,[]
15,,Tue Nov 30 22:25:13 EST 2021,EnvironmentOverride.java,1638329113037,57536,0,(F)7(I)1(F)4(I)4,0.3125,0.0,0.0,68.75,0.0,0.0,0.2807017543859649,0.0,0.0,0.19298245614035087,0.0,0.0,0.08771929824561403,10.0,[1638329130589 17 Lectures - Google Drive https://drive.google.com/drive/u/0/folders/14RRzusx6-WneUxkScwrdUR3MZFz_f1I9, 1638329144619 4 9-Lisp-Basic-Environment-setq.pptx - Google Slides https://docs.google.com/presentation/d/19WW4-t5oQy4xyvT-l_MDx3jb0o5-yRKy/edit?usp=drive_web&ouid=112456009622891420491&rtpof=true, 1638329144663 2 9-Lisp-Basic-Environment-setq.pptx - Google Slides https://docs.google.com/presentation/d/19WW4-t5oQy4xyvT-l_MDx3jb0o5-yRKy/edit?rtpof=true, 1638329145808 112 9-Lisp-Basic-Environment-setq.pptx - Google Slides https://docs.google.com/presentation/d/19WW4-t5oQy4xyvT-l_MDx3jb0o5-yRKy/edit, 1638329146287 2 9-Lisp-Basic-Environment-setq.pptx - Google Slides https://docs.google.com/presentation/d/19WW4-t5oQy4xyvT-l_MDx3jb0o5-yRKy/edit#slide=id.p1, 1638329150997 1 9-Lisp-Basic-Environment-setq.pptx - Google Slides https://docs.google.com/presentation/d/19WW4-t5oQy4xyvT-l_MDx3jb0o5-yRKy/edit#slide=id.p4, 1638329155433 1 9-Lisp-Basic-Environment-setq.pptx - Google Slides https://docs.google.com/presentation/d/19WW4-t5oQy4xyvT-l_MDx3jb0o5-yRKy/edit#slide=id.p5, 1638329163762 1 9-Lisp-Basic-Environment-setq.pptx - Google Slides https://docs.google.com/presentation/d/19WW4-t5oQy4xyvT-l_MDx3jb0o5-yRKy/edit#slide=id.p9]
